Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Alcohol Intoxication,201911220011,11/22/2019 - 1:40am,11/22/2019,"409 SOUTH LIMESTONE STREET - PARKING STRUCTURE #5, SIDEWALK ACROSS STREET",ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,CSA20191328,11/21/2019 - 10:30pm,11/22/2019,361 HUGUELET DRIVE - DONOVAN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,No,Closed - CSA
Assault,CSA20191323,11/22/2019 - 5:10am,11/22/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,201911210019-01,11/21/2019 - 3:52am,11/21/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Citation issued
Sex Offenses,CSA20191315,11/15/2019 - 12:00am,11/21/2019,ON CAMPUS - RESIDENCE HALL,RAPE,Yes,Closed - CSA
Harassment,201911210039,11/21/2019 - 10:48am,11/21/2019,WOODLAND AVENUE IN FRONT OF CHELLGREN HALL,HARASSMENT - NO PHYSICAL CONTACT,No,Closed
Drug Violations,201911210054-01,11/21/2019 - 4:00pm,11/21/2019,701 SPORTS CENTER DRIVE - BALDWIN HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA; PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Citation issued
Drug Violations,201911210054-02,11/21/2019 - 4:00pm,11/21/2019,701 SPORTS CENTER DRIVE - BALDWIN HALL,DRUG PARAPHERNALIA - BUY/POSSES' POSSESSION OF MARIJUANA; PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Citation issued
Theft,201911210057-01,11/21/2019 - 3:00pm,11/21/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,No,Open
Drug Violations,201911210082-01,11/21/2019 - 10:29pm,11/21/2019,720 WOODLAND AVENUE - CHELLGREN HALL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION OF MARIJUANA,Yes,Open
All Other Offenses,201911210058-01,11/13/2019 - 12:00pm,11/21/2019,"VARIOUS LOCATIONS ON CAMPUS - WT YOUNG LIBRARY, F. PAUL ANDERSON BUILDING, STUDENT CENTER",STALKING 2ND DEGREE,No,Open
Theft,201911210048-01,11/04/2019 - 12:00pm,11/21/2019,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,THEFT BY UNLAWFUL TAKING FROM BUILDING UNDER $500,Yes,Closed
Liquor Law Violation,CSA20191327,11/21/2019 - 8:00pm,11/21/2019,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Liquor Law Violation,CSA20191326,11/21/2019 - 10:15pm,11/21/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X4,Yes,Closed - CSA
Terroristic Threatening,CSA20191325,11/21/2019 - 12:00am,11/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Terroristic Threatening,CSA20191324,11/21/2019 - 7:16pm,11/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING,No,Closed - CSA
Assault,CSA20191322,11/21/2019 - 12:08pm,11/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191321,11/21/2019 - 4:18pm,11/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191320,11/21/2019 - 12:08pm,11/21/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20191319,11/21/2019 - 12:00am,11/21/2019,111 AVENUE OF CHAMPIONS - HOLMES HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Closed - CSA
Theft,201911200049-01,11/20/2019 - 1:22pm,11/20/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING SHOPLIFTING UNDER $500,No,Open
Criminal Trespass,201911200048-01,11/20/2019 - 2:30pm,11/20/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Theft,201911200034-01,11/20/2019 - 11:45am,11/20/2019,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING UNDER $500,No,Closed
Criminal Mischief,201911200051-01,11/20/2019 - 3:08pm,11/20/2019,510 WILDCAT COURT - KENTUCKY PROUD PARK,CRIMINAL MISCHIEF 2ND DEGREE,No,Open
Theft,201911200021-01,11/19/2019 - 4:00am,11/20/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"THEFT BY UNLAWFUL TAKING $500 OR MORE BUT UNDER $10,000; THEFT BY UNLAWFUL TAKING UNDER $500",No,Closed
Theft,201911200029-01,11/19/2019 - 1:00pm,11/20/2019,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT UNDER $10,000",Yes,Open
Harassment,CSA20191318,11/20/2019 - 2:00pm,11/20/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT; INDECENT EXPOSURE,No,Closed - CSA
Harassment,CSA20191317,11/19/2019 - 12:00am,11/20/2019,680 ROSE STREET - JACOBS SCIENCE BUILDING,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20191314,11/20/2019 - 12:39pm,11/20/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20191313,11/20/2019 - 1:12pm,11/20/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,201911190010-01,11/19/2019 - 1:22am,11/19/2019,SOUTH LIMESTON STREET/CONN TERRACE,POSSESSION OF CONTROLLED SUBSTANCE; POSSESSION OF MARIJUANA; DISREGARD SIGNALS OF OFFICER DIRECTING TRAFFIC/FLEEING;  POSSESSION OF OPEN ALCOHOLIC BEVERAGE CONTAINER IN MOTOR VEHICLE PROHIBITED,No,Open
Drug Violations,201911190002-02,11/19/2019 - 12:17am,11/19/2019,"329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL, OUTSIDE",POSSESSION OF MARIJUANA,No,Closed
Harassment,CSA20191296,11/19/2019 - 10:05pm,11/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
All Other Offenses,201911190084-01,11/19/2019 - 10:39pm,11/19/2019,LEXINGTON AVENUE/EAST MAXWELL STREET,"FLEEING OR EVADING POLICE, 2ND DEGREE MOTOR VEHICLE; RECKLESS DRIVING; NO REGISTRATION PLATES; DISREGARD TRAFFIC REGULATION - 1ST OFFENSE",No,Open
Theft,201911190041-01,11/18/2019 - 4:00pm,11/19/2019,"703 SPORTS CENTER DRIVE - WOODLAND GLEN IV, BIKE RACK","THEFT BY UNLAWFUL TAKING BICYCLES $500 OR MORE BUT UNDER $10,000",No,Closed
Assault,CSA20191312,11/19/2019 - 11:21am,11/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20191311,11/19/2019 - 11:14am,11/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Criminal Mischief,CSA20191310,11/19/2019 - 4:22pm,11/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Criminal Mischief,CSA20191309,11/19/2019 - 8:35am,11/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Criminal Mischief,CSA20191308,11/17/2019 - 1:45am,11/19/2019,720 WOODLAND AVENUE - CHELLGREN HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Theft,CSA20191307,11/17/2019 - 8:30pm,11/19/2019,1120 UNIVERSITY DRIVE - LEWIS HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Liquor Law Violation,CSA20191306,11/19/2019 - 9:45pm,11/19/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X6,Yes,Closed - CSA
Harassment,CSA20191305,11/19/2019 - 12:42pm,11/19/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Alcohol Intoxication,201911180006-01,11/18/2019 - 12:45am,11/18/2019,"411 SOUTH LIMESTONE STREET - PETERSON SERVICE BUILDING, OUTSIDE",ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Cleared By Arrest
Alcohol Intoxication,201911180019-01,11/18/2019 - 3:44am,11/18/2019,111 AVENUE OF CHAMPIONS/LIMESTONE STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFFENSE IN 12 MONTHS; CRIMINAL TRESPASS 3RD DEGREE,No,Cleared By Arrest
DUI,201911180015-01,11/18/2019 - 2:28am,11/18/2019,330 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL PARKING STRUCTURE,OPERATING MOTOR VEHICLE UNDER THE INFLUENCE OF ALCOHOL/DRUGS 0.08 1ST OFFENSE; CARELESS DRIVING,No,Cleared By Arrest
Public Intoxication,201911180067-01,11/18/2019 - 10:30pm,11/18/2019,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,PUBLIC INTOXICATION - CONTROLLED SUBSTANCE (EXCLUDES ALCOHOL),No,Open
Theft,201911180048-01,11/01/2019 - 8:00am,11/18/2019,"125 AVENUE OF CHAMPIONS - ROSELLE HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES UNDER $500,No,Closed
Theft,201911180047-01,11/16/2019 - 5:45pm,11/18/2019,444 COLUMBIA AVENUE - PARKING LOT,THEFT BY UNLAWFUL TAKING CONTENTS FROM VEHICLE UNDER $500,No,Closed
Harassment,CSA20191304,11/18/2019 - 7:44am,11/18/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20191303,11/14/2019 - 12:00am,11/18/2019,ON CAMPUS - UNSPECIFIED LOCATION,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20191302,11/18/2019 - 12:00am,11/18/2019,140 PATTERSON DRIVE - WHITEHALL CLASSROOM BUILDING,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20191301,11/14/2019 - 12:00am,11/18/2019,ON CAMPUS - UNSPECIFIED LOCATION,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,CSA20191300,11/16/2019 - 12:00am,11/18/2019,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Theft,CSA20191299,11/18/2019 - 8:45pm,11/18/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Theft,CSA20191298,11/18/2019 - 9:45pm,11/18/2019,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
All Other Offenses,CSA20191297,11/17/2019 - 12:00am,11/18/2019,ON CAMPUS - UNSPECIFIED LOCATION,STALKING,No,Closed - CSA
Harassment,CSA20191295,11/18/2019 - 7:00pm,11/18/2019,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
